InternalName,StudyTicketId,TicketIdent,Weight
YogurtPilotPOPSandTLMAugust2014,536394,328E1BAF-2A53-4401-8FBB-1BD1197955C7,0.819603375
YogurtPilotPOPSandTLMAugust2014,536399,586D831A-D5A4-4FD2-BD1B-422B5935A226,1.325344104
YogurtPilotPOPSandTLMAugust2014,536405,918BB0E9-EC30-4C75-AAC9-1092847A81E1,1.172159679
YogurtPilotPOPSandTLMAugust2014,536409,B03FD276-99DC-45E2-922E-F84A87CEDA26,0.954948445
YogurtPilotPOPSandTLMAugust2014,536410,8C4BB049-0849-4C94-A8E1-92EB70CACADB,1.205126283
YogurtPilotPOPSandTLMAugust2014,536420,FA513CAC-AFFA-42E4-A3AB-338AD5D6011A,0.951540773
YogurtPilotPOPSandTLMAugust2014,536423,43E16B78-265A-423F-BA9B-76863EFF906B,1.281683985
YogurtPilotPOPSandTLMAugust2014,536424,5F78AFFE-7FC0-4190-90C4-8A9C1F76ACCA,1.25488465
YogurtPilotPOPSandTLMAugust2014,536429,4A6697B0-53CD-44EC-8820-239D3DCCDB9A,0.883103117
YogurtPilotPOPSandTLMAugust2014,536431,3C6C9BBB-4ACF-4151-B832-B28E1E8C9471,0.833087969
YogurtPilotPOPSandTLMAugust2014,536432,2C52A700-8F07-4ECC-AE8E-DF9344204639,0.945518051
YogurtPilotPOPSandTLMAugust2014,536442,A7D363CB-7C18-4EBC-86C0-98A266ECD13B,0.705733354
YogurtPilotPOPSandTLMAugust2014,536448,B739DA53-D01B-4EEC-884E-06F4EEBC08EC,1.419786523
YogurtPilotPOPSandTLMAugust2014,536454,EB65B2A1-4733-421D-BCEA-1728149EC5C8,1.148567701
YogurtPilotPOPSandTLMAugust2014,536457,B80E4324-C07F-4BED-895C-02D6A521BA63,0.94650046
YogurtPilotPOPSandTLMAugust2014,536460,15E2E123-7FF9-4D30-A1A9-201FCDD20CFE,0.941277224
YogurtPilotPOPSandTLMAugust2014,536463,AE815104-252A-458F-A749-9F51E9B61E69,1.174026098
YogurtPilotPOPSandTLMAugust2014,536465,E98774A8-3A6E-42A3-8E1A-2CD2224DCFBF,0.966878417
YogurtPilotPOPSandTLMAugust2014,536466,1222D0ED-F089-4F71-8A9D-3160894D0643,1.033173458
YogurtPilotPOPSandTLMAugust2014,536470,2A12618F-DE3F-4313-BB4B-A2AE3F3363F9,1.080934474
YogurtPilotPOPSandTLMAugust2014,536474,9A5664D9-FB91-4559-82DC-463E805569DD,0.772963661
YogurtPilotPOPSandTLMAugust2014,536477,25AF3A8C-705E-4142-9447-71612FA5118B,0.801667906
YogurtPilotPOPSandTLMAugust2014,536489,2ACF9389-8516-4FA3-9BEE-57017D3CDFDF,1.329118051
YogurtPilotPOPSandTLMAugust2014,536494,4A59CE5E-98B0-410D-89F2-32C5C5DDBEF0,1.065865082
YogurtPilotPOPSandTLMAugust2014,536502,1EC697CC-055C-40FC-84BC-866831A2F2F2,1.114956644
YogurtPilotPOPSandTLMAugust2014,536514,8525DB0A-0252-4120-AD51-E995851CE2F4,0.930506332
YogurtPilotPOPSandTLMAugust2014,536521,1A0CD9DB-B490-4E50-94F7-3D8F276AAF87,0.903134477
YogurtPilotPOPSandTLMAugust2014,536525,4B7DF7BA-E4C0-432C-B926-74F574366D53,1.083979486
YogurtPilotPOPSandTLMAugust2014,536532,64F9D364-CC59-4E88-9078-1A00D528E8B6,0.748793104
YogurtPilotPOPSandTLMAugust2014,536541,EC6BF7DF-32B2-4BD6-9821-AE27E2288C19,1.098253562
YogurtPilotPOPSandTLMAugust2014,536545,08885977-DB6A-4866-B896-8C68435DDD44,0.920353235
YogurtPilotPOPSandTLMAugust2014,536546,A9D7D4EB-9965-4EA4-9BF7-F71558B654D6,1.071896327
YogurtPilotPOPSandTLMAugust2014,536555,42BB9298-931F-4183-AFCF-2B68A61589F1,0.949258788
YogurtPilotPOPSandTLMAugust2014,536559,4FBDE70A-C09A-46A2-BD97-C4E8F1794A8E,1.147069208
YogurtPilotPOPSandTLMAugust2014,536562,31B19D4E-7336-4862-8A40-FCDAC270D960,1.020737599
YogurtPilotPOPSandTLMAugust2014,536571,8593C6E0-2F26-47B8-B7C7-D5AE1400C149,0.962151455
YogurtPilotPOPSandTLMAugust2014,536582,A79E21D8-857C-4E2D-8E2E-D8E28288A92B,1.001022739
YogurtPilotPOPSandTLMAugust2014,536592,A2DA0635-11CC-4E49-91F6-35E5BA8A82B9,1.031310779
YogurtPilotPOPSandTLMAugust2014,536595,C32FAB37-BF08-4511-AC98-49F227894C2D,0.964499537
YogurtPilotPOPSandTLMAugust2014,536601,A9570CB9-B480-4D07-A5F5-4E4DCAED686C,0.973012784
YogurtPilotPOPSandTLMAugust2014,536606,53DEE788-B413-427F-B0FE-8E2AF10217E1,1.025507897
YogurtPilotPOPSandTLMAugust2014,536607,EE251DAA-7322-4A61-BEC4-9615742A5A26,1.090111859
YogurtPilotPOPSandTLMAugust2014,536623,02C19346-D998-49B5-A6BB-382A6FBE46A4,1.092049143
YogurtPilotPOPSandTLMAugust2014,536628,6F692ADD-DE4D-4BD8-B4B3-12593DDD8765,1.142976471
YogurtPilotPOPSandTLMAugust2014,536646,3CE2FD35-D781-4FAE-B836-3C543DBEF512,1.426951138
YogurtPilotPOPSandTLMAugust2014,536657,0252A0D0-7A22-4FD6-AB92-B150607847FF,1.404911077
YogurtPilotPOPSandTLMAugust2014,536658,8C2D47A7-CF2C-49F1-B4A8-19726E904D79,0.833087969
YogurtPilotPOPSandTLMAugust2014,536659,A639306C-0342-4116-8B7D-F26F9C8039C1,0.788593536
YogurtPilotPOPSandTLMAugust2014,536667,AC4794F8-04F3-41C1-9901-F9F6A4E881AE,0.605050991
YogurtPilotPOPSandTLMAugust2014,536687,2877564A-EC69-4193-95D8-10C104D245C9,0.836246078
YogurtPilotPOPSandTLMAugust2014,536724,76646EBB-B9B3-4850-8B4A-E61D06451F5A,0.952788421
YogurtPilotPOPSandTLMAugust2014,536732,8832E683-E21F-4597-BB0B-593FC922E295,0.872854098
YogurtPilotPOPSandTLMAugust2014,536738,5BA9976B-CAB0-45C5-A077-4BD7718B2D43,0.751248092
YogurtPilotPOPSandTLMAugust2014,536744,CF2E18E3-DC00-4761-9202-B68DC985A3E5,0.900548366
YogurtPilotPOPSandTLMAugust2014,536779,16EF3DEB-A2F4-4615-A28A-2154E8AEA642,1.020737599
YogurtPilotPOPSandTLMAugust2014,536796,5BC2BCFA-4659-4CA2-BF8D-EA2C2E574D62,0.863096002
YogurtPilotPOPSandTLMAugust2014,536827,801386F8-AA32-44BC-A4E6-2F17CF0DF17F,1.184149801
YogurtPilotPOPSandTLMAugust2014,536858,74332334-14AF-4013-85AF-3F62A167C05C,1.135965298
YogurtPilotPOPSandTLMAugust2014,536892,2B75544F-D168-4A6B-B3EC-4634F37CCB3E,0.770125915
YogurtPilotPOPSandTLMAugust2014,536918,FD43E1B6-2F2E-4EC8-8B1B-C57255A77919,1.031310779
