,Unnamed: 0,RespondentKey,StudyCellId,StudyCellName,Age,AgeRecode,IncomeRecode,HispanicRecode,RaceRecoder1,State,Income,Cell,StudyTicketId,Gender,Education,nweight,InternalName,TicketIdent,Weight
0,0,RIX2471090283TF9JKAW,2816,NAM signs (Generic Grocery Store),30.0,2.0,3.0,2.0,1.0,10.0,3.0,7.0,537055,1.0,4.0,0.762222519,YogurtPilotPOPSandTLMAugust2014,F48544C1-5FDD-435D-A8C2-15ADB2189495,0.76222251906621
1,1,JSPP471093256CTYUG6C,2816,NAM signs (Generic Grocery Store),18.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,537073,2.0,4.0,0.736460008,YogurtPilotPOPSandTLMAugust2014,45A55063-7601-4E41-ACC3-4E27776FA393,0.736460007937326
2,3,T77W472530290YK0KLY5,2816,NAM signs (Generic Grocery Store),43.0,3.0,3.0,2.0,0.0,7.0,3.0,7.0,543769,1.0,4.0,1.135965298,YogurtPilotPOPSandTLMAugust2014,5C88C0A5-08ED-4FA9-A340-65B97981770C,1.13596529784993
3,4,A2UQ472543233YQ48KNV,2816,NAM signs (Generic Grocery Store),61.0,5.0,5.0,2.0,1.0,43.0,5.0,7.0,543823,2.0,5.0,1.02975142,YogurtPilotPOPSandTLMAugust2014,653BDA30-F6B8-4E35-A736-EFC8D967F858,1.02975141973842
4,5,85R6472541822TIQ0GQS,2816,NAM signs (Generic Grocery Store),33.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,543816,2.0,2.0,0.577786027,YogurtPilotPOPSandTLMAugust2014,9DCC3A97-CA1A-48E7-980F-608B6866A8AE,0.577786027296486
5,6,ZYB6472535308UXOHWQF,2816,NAM signs (Generic Grocery Store),61.0,5.0,1.0,2.0,1.0,43.0,1.0,7.0,543790,2.0,2.0,0.970439653,YogurtPilotPOPSandTLMAugust2014,30042213-1095-4DA9-821F-7B66A0AA53C3,0.970439652507157
6,7,3YQI472567034YNALFGA,2816,NAM signs (Generic Grocery Store),29.0,2.0,5.0,2.0,1.0,44.0,5.0,7.0,543934,2.0,5.0,0.7190372490000001,YogurtPilotPOPSandTLMAugust2014,F611947E-812E-4F3B-93BC-80DDCC4ACBAB,0.7190372491035
7,8,PKOP472006570ANS3366,2816,NAM signs (Generic Grocery Store),38.0,3.0,1.0,2.0,0.0,5.0,1.0,7.0,543947,2.0,3.0,1.009882421,YogurtPilotPOPSandTLMAugust2014,21DF34F3-79E4-49EE-BC03-D0E083A32C3C,1.00988242109227
8,9,63KY472554747XNY8H5E,2816,NAM signs (Generic Grocery Store),27.0,2.0,1.0,2.0,1.0,43.0,1.0,7.0,543872,1.0,4.0,0.679873893,YogurtPilotPOPSandTLMAugust2014,2D2C0821-5BF7-48FC-B85E-FD0F9660DFB5,0.679873893079305
9,10,89RC472585544JRSYEZD,2816,NAM signs (Generic Grocery Store),32.0,2.0,3.0,1.0,1.0,31.0,3.0,7.0,544035,1.0,2.0,0.6499220729999999,YogurtPilotPOPSandTLMAugust2014,C5565E08-650A-4AAC-B03A-2920BCE756AE,0.649922072988944
10,12,5WQK472607673HJN4MZE,2816,NAM signs (Generic Grocery Store),28.0,2.0,5.0,1.0,1.0,31.0,5.0,7.0,544105,2.0,5.0,0.613099414,YogurtPilotPOPSandTLMAugust2014,D32C0608-5822-496B-96D1-D971B7CE060C,0.613099413628084
11,13,XMRR472599754QRL9O93,2816,NAM signs (Generic Grocery Store),32.0,2.0,3.0,2.0,1.0,11.0,3.0,7.0,544103,1.0,5.0,0.762222519,YogurtPilotPOPSandTLMAugust2014,F82AA61E-B379-48B9-888C-2783E38091D9,0.76222251906621
12,14,RR3Z472605228IFEJRKC,2816,NAM signs (Generic Grocery Store),29.0,2.0,3.0,2.0,1.0,6.0,3.0,7.0,544102,2.0,3.0,0.7596979140000001,YogurtPilotPOPSandTLMAugust2014,47B44A57-D1A8-4892-BB6B-CD2D6BC33760,0.759697914385024
13,15,OUDT472619629BPHFT3L,2816,NAM signs (Generic Grocery Store),27.0,2.0,2.0,1.0,1.0,10.0,2.0,7.0,544153,2.0,5.0,0.789091112,YogurtPilotPOPSandTLMAugust2014,86A65A89-9F5E-4AB4-BF43-1811AC48D7AC,0.789091111965221
14,16,VTC6472660082Q9VIRC6,2816,NAM signs (Generic Grocery Store),55.0,5.0,1.0,2.0,1.0,23.0,1.0,7.0,544301,1.0,3.0,0.973664588,YogurtPilotPOPSandTLMAugust2014,E94F8CF9-1525-4E64-AA7E-CC965A85B61C,0.973664587633524
15,17,7I1P472663358HRRMB4T,2816,NAM signs (Generic Grocery Store),56.0,5.0,1.0,2.0,1.0,3.0,1.0,7.0,544311,2.0,4.0,0.970439653,YogurtPilotPOPSandTLMAugust2014,8A138614-F600-4ABC-8967-E16AD4912021,0.970439652507157
16,18,019T472676355RPLSANH,2816,NAM signs (Generic Grocery Store),59.0,5.0,3.0,2.0,1.0,16.0,3.0,7.0,544367,1.0,4.0,1.091598136,YogurtPilotPOPSandTLMAugust2014,DE99702D-C3B7-446A-9CE7-2A2704274C85,1.0915981364576701
17,19,MUGI472675187SU44R0V,2816,NAM signs (Generic Grocery Store),22.0,1.0,2.0,1.0,0.0,21.0,2.0,7.0,544364,2.0,5.0,1.055690605,YogurtPilotPOPSandTLMAugust2014,A930CE50-8811-4ED8-AA93-CDC3D460C1E8,1.05569060488098
18,20,62BT472605360RHHXKHN,2816,NAM signs (Generic Grocery Store),24.0,1.0,1.0,2.0,1.0,36.0,1.0,7.0,544406,2.0,5.0,0.8637133990000001,YogurtPilotPOPSandTLMAugust2014,F24BF1EA-00BA-4421-9727-B1C0B2443FAC,0.8637133985308709
19,21,3JFS472686690RGBRK35,2816,NAM signs (Generic Grocery Store),73.0,6.0,7.0,2.0,1.0,29.0,9.0,7.0,544410,2.0,4.0,0.946439358,YogurtPilotPOPSandTLMAugust2014,4240C88E-1814-441E-B946-E53A87BAFBDC,0.9464393577768759
20,22,RM81473290956V8UC34U,2816,NAM signs (Generic Grocery Store),36.0,3.0,1.0,2.0,1.0,38.0,1.0,7.0,546884,1.0,2.0,0.965348847,YogurtPilotPOPSandTLMAugust2014,86186149-B49D-4395-979B-C2F9133C5FF5,0.965348846991553
21,24,8S2T473743899HV4HXGF,2816,NAM signs (Generic Grocery Store),32.0,2.0,4.0,2.0,1.0,47.0,4.0,7.0,551266,1.0,6.0,0.992735976,YogurtPilotPOPSandTLMAugust2014,0D01D3DC-6431-4E06-914F-4F8D1D6CE062,0.992735975887103
22,25,MN9T473747193LUEMQLY,2816,NAM signs (Generic Grocery Store),19.0,1.0,2.0,2.0,1.0,16.0,2.0,7.0,551328,1.0,2.0,1.183506411,YogurtPilotPOPSandTLMAugust2014,40BEAC8A-1334-48AA-AD08-65910E0B030E,1.18350641056944
